MS,MH3,Xbbgg+ggbb(fb),Xbbbb(fb),X_to_HY_from_bbgg(fb),X_to_HY_from_4b(fb),X_to_HY(fb),X_to_HYbb(fb),Y_to_bb,Y_to_tautau,Y_to_mumu,Y_to_cc,Y_to_ss,Y_to_tt,Y_to_gluglu,Y_to_gg,Y_to_Zg,Y_to_WW,Y_to_ZZ,Y_to_l+l-l+l-,Y_to_l+l-l+l-.1,Y_to_e+e-e+e-,Y_to_e+e-μ+μ-,Y_to_l+l-νlνl,Y_to_l+l-νlνl.1,Y_to_e+νee-νe,Y_to_e+νeμ-νμ,Y_to_l+l-qq(q=udcsb),Y_to_l+l-qq,Y_to_l+νlqq*,Y_to_νlνlqq,Y_to_qqqq,Y_to_ffff
120,300,1.14898,-1,415.6720873,-1,415.6720873,269.3555125,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,300,2.18306,-1,789.7762422,-1,789.7762422,511.775005,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,350,1.39413,-1,504.361196,-1,504.361196,326.826055,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,350,2.2354,-1,808.7115388,-1,808.7115388,524.0450771,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,400,1.09483,-1,396.0819782,-1,396.0819782,256.6611219,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,400,1.87243,-1,677.3981152,-1,677.3981152,438.9539786,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,450,0.718058,-1,259.7753378,-1,259.7753378,168.3344189,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,450,1.22448,-1,442.9860898,-1,442.9860898,287.0549862,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,500,0.310358,-1,112.2797243,-1,112.2797243,72.75726136,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,500,0.809138,-1,292.7257927,-1,292.7257927,189.6863137,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,550,0.322556,-1,116.6926542,-1,116.6926542,75.6168399,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
120,550,0.533995,-1,193.1859704,-1,193.1859704,125.1845088,0.648,0.0704,0.000244,0.0327,0.000276,0,0.0882,0.00223,0.00111,0.141,0.0159,0.000167,7.59E-05,2.01E-05,3.56E-05,0.0153,0.00689,0.00164,0.00166,0.00222,0.00148,0.0207,0.00444,0.0713,0.156
